FormNO,District,Age,Gender,Income,Education,Sevice_evaluation
343,Chitwan,21,Male,11600,SLC/SEE,Ok
344,Chitwan,54,Male,10300,SLC/SEE,Bad
345,Chitwan,41,Male,10300,Inter/+2,Good
346,Chitwan,49,Female,12700,SLC/SEE,Bad
347,Chitwan,32,Male,11200,SLC/SEE,Good
348,Chitwan,22,Male,11400,SLC/SEE,Ok
349,Chitwan,54,Male,14600,SLC/SEE,Good
350,Chitwan,60,Male,3100,SLC/SEE,Good
351,Chitwan,40,Male,10400,SLC/SEE,Ok
352,Chitwan,45,Male,13800,SLC/SEE,Ok
353,Chitwan,48,Male,14200,SLC/SEE,Ok
354,Chitwan,39,Male,11600,SLC/SEE,Good
355,Chitwan,42,Male,13200,SLC/SEE,Ok
356,Chitwan,29,Male,11300,Bachelor,Ok
357,Chitwan,28,Male,14100,Bachelor,Very Good
358,Chitwan,36,Male,10800,SLC/SEE,Ok
359,Chitwan,47,Male,13300,SLC/SEE,Bad
360,Chitwan,28,Male,11400,SLC/SEE,Ok
361,Chitwan,32,Male,12800,SLC/SEE,Good
362,Chitwan,56,Female,11700,SLC/SEE,Ok
363,Chitwan,59,Male,12900,SLC/SEE,Good
364,Chitwan,67,Male,3200,SLC/SEE,Good
365,Chitwan,54,Male,12300,SLC/SEE,Good
366,Chitwan,60,Male,2500,SLC/SEE,Ok
367,Chitwan,53,Male,13700,Below SLC/SEE,Good
368,Chitwan,34,Female,13500,SLC/SEE,Ok
369,Chitwan,45,Male,10500,SLC/SEE,Good
370,Chitwan,40,Female,11400,SLC/SEE,Ok
371,Chitwan,42,Male,12000,SLC/SEE,Ok
372,Chitwan,25,Male,15000,SLC/SEE,Good
373,Chitwan,27,Female,12300,SLC/SEE,Ok
374,Chitwan,37,Male,14100,Bachelor,Ok
375,Chitwan,55,Male,11000,SLC/SEE,Ok
376,Chitwan,56,Male,10400,SLC/SEE,Ok
377,Chitwan,28,Female,14700,SLC/SEE,Good
378,Chitwan,43,Male,11700,SLC/SEE,Good
379,Chitwan,46,Male,14100,SLC/SEE,Ok
380,Chitwan,42,Male,14400,Inter/+2,Good
381,Chitwan,44,Male,10300,SLC/SEE,Good
382,Chitwan,56,Male,13600,SLC/SEE,Good
383,Chitwan,42,Female,14000,SLC/SEE,Ok
384,Chitwan,53,Male,11500,Below SLC/SEE,Ok
385,Chitwan,36,Female,13900,Below SLC/SEE,Ok
386,Chitwan,32,Male,14300,SLC/SEE,Ok
387,Chitwan,32,Male,14900,SLC/SEE,Ok
388,Chitwan,42,Male,13400,SLC/SEE,Ok
389,Chitwan,51,Female,13400,Below SLC/SEE,Bad
390,Chitwan,42,Male,11700,SLC/SEE,Ok
391,Chitwan,61,Female,3700,Below SLC/SEE,Ok
392,Chitwan,37,Male,13200,SLC/SEE,Ok
393,Chitwan,46,Female,11400,Below SLC/SEE,Ok
394,Chitwan,56,Female,14100,Below SLC/SEE,Ok
395,Chitwan,45,Male,10200,SLC/SEE,Ok
396,Chitwan,37,Male,14200,SLC/SEE,Ok
397,Chitwan,52,Male,13700,Below SLC/SEE,Ok
398,Chitwan,62,Male,3100,Below SLC/SEE,Ok
399,Chitwan,60,Male,4500,Below SLC/SEE,Ok
400,Chitwan,55,Female,13500,Below SLC/SEE,Ok
401,Chitwan,65,Male,5100,Below SLC/SEE,Ok
402,Chitwan,66,Male,2700,SLC/SEE,Ok
403,Chitwan,43,Male,10000,SLC/SEE,Ok
404,Chitwan, ,Male,13400,SLC/SEE,Ok
405,Chitwan,31,Female,12500,SLC/SEE,Ok
406,Chitwan,35,Male,10500,SLC/SEE,Ok
407,Chitwan,46,Male,13900,SLC/SEE,Ok
408,Chitwan,39,Male,13100,SLC/SEE,Ok
