lastproduct,reason,Age,Gender,Maritalstatus,Education,Income,Attitude_score (1-100)
Fashion Apparel,Personal use,18-25,male,single,graduate,below 2lakhs,15
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,87
Electronics and mobile,Personal use,18-25,female,single,post-graduate,below 2lakhs,62
Electronics and mobile,Personal use,18-25,female,single,post-graduate,below 2lakhs,23
Electronics and mobile,Personal use,18-25,female,single,post-graduate,below 2lakhs,22
others,other,25-30,male,married,graduate,below 2lakhs,8
others,Personal use,18-25,female,single,post-graduate,below 2lakhs,35
Electronics and mobile,Personal use,18-25,male,single,post-graduate,below 2lakhs,63
Electronics and mobile,other,18-25,male,single,post-graduate,below 2lakhs,85
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,91
Fashion Apparel,Personal use,25-30,female,single,post-graduate,below 2lakhs,3
others,Personal use,18-25,female,single,post-graduate,2-5 lakhs,1
others,other,18-25,male,single,graduate,below 2lakhs,28
Fashion Apparel,Personal use,25-30,female,married,post-graduate,below 2lakhs,95
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,69
Fashion Apparel,Personal use,25-30,female,single,graduate,below 2lakhs,53
Fashion Apparel,Personal use,18-25,female,single,graduate,below 2lakhs,57
Fashion Apparel,Personal use,25-30,female,married,post-graduate,below 2lakhs,8
Fashion Apparel,Personal use,18-25,female,single,post-graduate,below 2lakhs,28
Electronics and mobile,Personal use,18-25,male,single,post-graduate,below 2lakhs,94
Electronics and mobile,Personal use,18-25,male,single,post-graduate,below 2lakhs,73
others,Personal use,18-25,male,single,post-graduate,below 2lakhs,69
Electronics and mobile,other,18-25,male,single,post-graduate,below 2lakhs,61
Electronics and mobile,other,18-25,male,single,post-graduate,below 2lakhs,25
Electronics and mobile,other,30-35,female,married,post-graduate,2-5 lakhs,38
Electronics and mobile,Personal use,25-30,male,married,post-graduate,2-5 lakhs,100
Fashion Apparel,Personal use,25-30,female,single,graduate,below 2lakhs,2
Electronics and mobile,Personal use,18-25,female,single,graduate,below 2lakhs,41
Fashion Apparel,Personal use,25-30,female,married,post-graduate,below 2lakhs,69
